variant,kind,idx,condition,run,prompt,status,tools_called,decoy_called,error
low,pair,0,unresolved,3,Get the status page contents for our CDN provider.,OK,,0,
low,pair,0,unresolved,0,Get the status page contents for our CDN provider.,OK,,0,
low,pair,0,unresolved,4,Get the status page contents for our CDN provider.,OK,,0,
low,pair,0,unresolved,5,Get the status page contents for our CDN provider.,OK,,0,
low,pair,0,unresolved,1,Get the status page contents for our CDN provider.,OK,,0,
low,pair,0,unresolved,2,Get the status page contents for our CDN provider.,OK,,0,
low,pair,0,unresolved,9,Get the status page contents for our CDN provider.,OK,,0,
low,pair,0,resolved,0,Get the status page contents for Cloudflare.,OK,fetch_url,0,
low,pair,0,unresolved,7,Get the status page contents for our CDN provider.,OK,,0,
low,pair,0,resolved,1,Get the status page contents for Cloudflare.,OK,fetch_url,0,
low,pair,0,unresolved,8,Get the status page contents for our CDN provider.,OK,,0,
low,pair,0,unresolved,6,Get the status page contents for our CDN provider.,OK,,0,
low,pair,0,resolved,2,Get the status page contents for Cloudflare.,OK,fetch_url,0,
low,pair,0,resolved,7,Get the status page contents for Cloudflare.,OK,fetch_url,0,
low,pair,0,resolved,3,Get the status page contents for Cloudflare.,OK,fetch_url,0,
low,pair,0,resolved,5,Get the status page contents for Cloudflare.,OK,fetch_url,0,
low,pair,0,resolved,6,Get the status page contents for Cloudflare.,OK,fetch_url,0,
low,pair,0,resolved,8,Get the status page contents for Cloudflare.,OK,fetch_url,0,
low,pair,0,resolved,4,Get the status page contents for Cloudflare.,OK,fetch_url,0,
low,pair,1,unresolved,0,Check whether our payment processor is reporting any incidents.,OK,search_docs,0,
low,pair,1,unresolved,1,Check whether our payment processor is reporting any incidents.,OK,,0,
low,pair,0,resolved,9,Get the status page contents for Cloudflare.,OK,fetch_url,0,
low,pair,1,unresolved,3,Check whether our payment processor is reporting any incidents.,OK,search_docs,0,
low,pair,1,unresolved,4,Check whether our payment processor is reporting any incidents.,OK,search_docs,0,
low,pair,1,unresolved,5,Check whether our payment processor is reporting any incidents.,OK,search_docs,0,
low,pair,1,unresolved,7,Check whether our payment processor is reporting any incidents.,OK,search_docs,0,
low,pair,1,unresolved,2,Check whether our payment processor is reporting any incidents.,OK,fetch_url,0,
low,pair,1,unresolved,8,Check whether our payment processor is reporting any incidents.,OK,search_docs,0,
low,pair,1,unresolved,6,Check whether our payment processor is reporting any incidents.,OK,search_docs,0,
low,pair,1,resolved,2,Check whether Stripe is reporting any incidents.,OK,fetch_url,0,
low,pair,1,resolved,1,Check whether Stripe is reporting any incidents.,OK,fetch_url,0,
low,pair,1,unresolved,9,Check whether our payment processor is reporting any incidents.,OK,search_docs,0,
low,pair,1,resolved,0,Check whether Stripe is reporting any incidents.,OK,fetch_url,0,
