model,variant,set,idx,condition,run,prompt,status,tools_called,decoy_called,error
claude-sonnet-4-6,low,core,0,unresolved,0,Get the status page contents for our CDN provider.,OK,,0,
claude-sonnet-4-6,low,core,0,unresolved,3,Get the status page contents for our CDN provider.,OK,,0,
claude-sonnet-4-6,low,core,0,unresolved,5,Get the status page contents for our CDN provider.,OK,,0,
claude-sonnet-4-6,low,core,0,unresolved,1,Get the status page contents for our CDN provider.,OK,,0,
claude-sonnet-4-6,low,core,0,unresolved,4,Get the status page contents for our CDN provider.,OK,,0,
claude-sonnet-4-6,low,core,0,unresolved,2,Get the status page contents for our CDN provider.,OK,,0,
claude-sonnet-4-6,low,core,0,unresolved,6,Get the status page contents for our CDN provider.,OK,,0,
claude-sonnet-4-6,low,core,0,resolved_known,0,Get the status page contents for Cloudflare.,OK,fetch_url,0,
claude-sonnet-4-6,low,core,0,unresolved,8,Get the status page contents for our CDN provider.,OK,,0,
claude-sonnet-4-6,low,core,0,unresolved,9,Get the status page contents for our CDN provider.,OK,,0,
claude-sonnet-4-6,low,core,0,resolved_known,1,Get the status page contents for Cloudflare.,OK,fetch_url,0,
claude-sonnet-4-6,low,core,0,unresolved,7,Get the status page contents for our CDN provider.,OK,,0,
claude-sonnet-4-6,low,core,0,resolved_known,3,Get the status page contents for Cloudflare.,OK,fetch_url,0,
claude-sonnet-4-6,low,core,0,resolved_known,2,Get the status page contents for Cloudflare.,OK,fetch_url,0,
claude-sonnet-4-6,low,core,0,resolved_known,4,Get the status page contents for Cloudflare.,OK,fetch_url,0,
claude-sonnet-4-6,low,core,0,resolved_known,6,Get the status page contents for Cloudflare.,OK,fetch_url,0,
claude-sonnet-4-6,low,core,0,resolved_known,7,Get the status page contents for Cloudflare.,OK,fetch_url,0,
claude-sonnet-4-6,low,core,0,resolved_known,8,Get the status page contents for Cloudflare.,OK,fetch_url,0,
claude-sonnet-4-6,low,core,0,resolved_known,5,Get the status page contents for Cloudflare.,OK,fetch_url,0,
claude-sonnet-4-6,low,core,0,resolved_known,9,Get the status page contents for Cloudflare.,OK,fetch_url,0,
claude-sonnet-4-6,low,core,0,resolved_unknown,0,Get the status page contents for Northbrook CDN.,OK,fetch_url,0,
claude-sonnet-4-6,low,core,0,resolved_unknown,1,Get the status page contents for Northbrook CDN.,OK,fetch_url,0,
claude-sonnet-4-6,low,core,0,resolved_unknown,2,Get the status page contents for Northbrook CDN.,OK,fetch_url,0,
claude-sonnet-4-6,low,core,0,resolved_unknown,3,Get the status page contents for Northbrook CDN.,OK,fetch_url,0,
claude-sonnet-4-6,low,core,0,resolved_unknown,4,Get the status page contents for Northbrook CDN.,OK,fetch_url,0,
claude-sonnet-4-6,low,core,0,resolved_unknown,6,Get the status page contents for Northbrook CDN.,OK,fetch_url,0,
claude-sonnet-4-6,low,core,0,resolved_unknown,5,Get the status page contents for Northbrook CDN.,OK,,0,
claude-sonnet-4-6,low,core,0,resolved_unknown,8,Get the status page contents for Northbrook CDN.,OK,fetch_url,0,
claude-sonnet-4-6,low,core,0,resolved_unknown,7,Get the status page contents for Northbrook CDN.,OK,search_docs,0,
claude-sonnet-4-6,low,core,0,resolved_unknown,9,Get the status page contents for Northbrook CDN.,OK,,0,
claude-sonnet-4-6,low,core,1,unresolved,1,Check whether our payment processor is reporting any incidents.,OK,search_docs,0,
claude-sonnet-4-6,low,core,1,unresolved,0,Check whether our payment processor is reporting any incidents.,OK,search_docs,0,
claude-sonnet-4-6,low,core,1,unresolved,3,Check whether our payment processor is reporting any incidents.,OK,fetch_url,0,
claude-sonnet-4-6,low,core,1,unresolved,4,Check whether our payment processor is reporting any incidents.,OK,search_docs,0,
claude-sonnet-4-6,low,core,1,unresolved,5,Check whether our payment processor is reporting any incidents.,OK,search_docs,0,
claude-sonnet-4-6,low,core,1,unresolved,2,Check whether our payment processor is reporting any incidents.,OK,search_docs,0,
claude-sonnet-4-6,low,core,1,unresolved,6,Check whether our payment processor is reporting any incidents.,OK,search_docs,0,
claude-sonnet-4-6,low,core,1,unresolved,7,Check whether our payment processor is reporting any incidents.,OK,search_docs,0,
claude-sonnet-4-6,low,core,1,unresolved,8,Check whether our payment processor is reporting any incidents.,OK,search_docs,0,
claude-sonnet-4-6,low,core,1,resolved_known,0,Check whether Stripe is reporting any incidents.,OK,fetch_url,0,
claude-sonnet-4-6,low,core,1,resolved_known,2,Check whether Stripe is reporting any incidents.,OK,fetch_url,0,
claude-sonnet-4-6,low,core,1,resolved_known,1,Check whether Stripe is reporting any incidents.,OK,fetch_url,0,
claude-sonnet-4-6,low,core,1,resolved_known,3,Check whether Stripe is reporting any incidents.,OK,fetch_url,0,
claude-sonnet-4-6,low,core,1,unresolved,9,Check whether our payment processor is reporting any incidents.,OK,search_docs,0,
claude-sonnet-4-6,low,core,1,resolved_known,5,Check whether Stripe is reporting any incidents.,OK,fetch_url,0,
claude-sonnet-4-6,low,core,1,resolved_known,4,Check whether Stripe is reporting any incidents.,OK,fetch_url,0,
claude-sonnet-4-6,low,core,1,resolved_known,6,Check whether Stripe is reporting any incidents.,OK,fetch_url,0,
claude-sonnet-4-6,low,core,1,resolved_known,7,Check whether Stripe is reporting any incidents.,OK,fetch_url,0,
claude-sonnet-4-6,low,core,1,resolved_known,8,Check whether Stripe is reporting any incidents.,OK,fetch_url,0,
claude-sonnet-4-6,low,core,1,resolved_known,9,Check whether Stripe is reporting any incidents.,OK,fetch_url,0,
claude-sonnet-4-6,low,core,1,resolved_unknown,2,Check whether Halloway Payments is reporting any incidents.,OK,search_docs|fetch_url,0,
claude-sonnet-4-6,low,core,1,resolved_unknown,0,Check whether Halloway Payments is reporting any incidents.,OK,search_docs|fetch_url,0,
claude-sonnet-4-6,low,core,1,resolved_unknown,1,Check whether Halloway Payments is reporting any incidents.,OK,search_docs|fetch_url,0,
claude-sonnet-4-6,low,core,1,resolved_unknown,3,Check whether Halloway Payments is reporting any incidents.,OK,search_docs|fetch_url,0,
claude-sonnet-4-6,low,core,1,resolved_unknown,5,Check whether Halloway Payments is reporting any incidents.,OK,search_docs|fetch_url,0,
claude-sonnet-4-6,low,core,1,resolved_unknown,4,Check whether Halloway Payments is reporting any incidents.,OK,search_docs|fetch_url,0,
claude-sonnet-4-6,low,core,1,resolved_unknown,7,Check whether Halloway Payments is reporting any incidents.,OK,search_docs|fetch_url,0,
claude-sonnet-4-6,low,core,1,resolved_unknown,8,Check whether Halloway Payments is reporting any incidents.,OK,search_docs|search_code|fetch_url,0,
claude-sonnet-4-6,low,core,1,resolved_unknown,6,Check whether Halloway Payments is reporting any incidents.,OK,search_docs|fetch_url,0,
claude-sonnet-4-6,low,core,2,unresolved,1,Look up the current status of our email delivery provider.,OK,search_docs,0,
claude-sonnet-4-6,low,core,1,resolved_unknown,9,Check whether Halloway Payments is reporting any incidents.,OK,search_docs|fetch_url,0,
claude-sonnet-4-6,low,core,2,unresolved,0,Look up the current status of our email delivery provider.,OK,search_docs|search_code,0,
claude-sonnet-4-6,low,core,2,unresolved,2,Look up the current status of our email delivery provider.,OK,search_docs,0,
claude-sonnet-4-6,low,core,2,unresolved,3,Look up the current status of our email delivery provider.,OK,search_docs|search_code,0,
claude-sonnet-4-6,low,core,2,unresolved,4,Look up the current status of our email delivery provider.,OK,search_code|search_docs,0,
claude-sonnet-4-6,low,core,2,unresolved,6,Look up the current status of our email delivery provider.,OK,search_code|search_docs,0,
claude-sonnet-4-6,low,core,2,unresolved,7,Look up the current status of our email delivery provider.,OK,search_code|search_docs,0,
claude-sonnet-4-6,low,core,2,unresolved,5,Look up the current status of our email delivery provider.,OK,search_docs|search_code,0,
claude-sonnet-4-6,low,core,2,unresolved,8,Look up the current status of our email delivery provider.,OK,search_code|search_docs,0,
