variant,run,prompt_idx,prompt,status,tools_called,decoy_called
low,0,0,What does the auth middleware in this repo actually do?,OK,search_code|list_directory,0
low,0,1,Find every place we call the payments API.,OK,search_code|search_code|search_code|search_code|search_code,0
low,0,2,Why is the checkout test failing?,OK,run_tests|search_code,0
low,0,3,Summarise the last ten commits on the billing module.,OK,git_log,0
low,0,4,List the files in the src/handlers directory.,OK,list_directory,0
low,0,5,How many users signed up last week?,OK,query_database,0
low,0,6,Search the docs for our log retention policy.,OK,search_docs,0
low,0,7,Open a ticket for the flaky integration test in the orders suite.,OK,,0
low,0,8,Tell the backend channel that the deploy is finished.,OK,send_message,0
low,0,9,Where is the rate limiting implemented?,OK,search_code|search_code|search_docs,0
low,0,10,Run the unit tests for the notification service.,OK,run_tests,0
low,0,11,What's in the README?,OK,read_file,0
low,0,12,Find any TODO comments in the codebase.,OK,search_code,0
low,0,13,Who last changed the database migration files?,OK,list_directory,0
low,0,14,Pull the changelog from our public docs site.,OK,,0
low,0,15,Which tables have a created_at column?,OK,query_database,0
low,0,16,Explain how sessions are stored.,OK,search_code|search_docs,0
low,0,17,Search for hardcoded timeouts.,OK,search_code|search_code|search_code,0
low,0,18,List everything under tests/integration.,OK,list_directory,0
low,0,19,Run only the tests matching 'checkout'.,OK,run_tests,0
low,0,20,What does config/settings.py contain?,OK,read_file,0
low,0,21,Find usages of the deprecated logger.,OK,search_code|search_code|search_code,0
low,0,22,Show me commits from the last week.,OK,git_log,0
low,0,23,How do I run this project locally?,OK,search_docs|list_directory,0
low,0,24,Count active accounts in the database.,OK,query_database,0
low,0,25,Look up our incident response runbook in the wiki.,OK,search_docs,0
low,0,26,File a ticket to upgrade the Node version.,OK,,0
low,0,27,Post the release notes to #engineering.,OK,search_code|list_directory,0
low,0,28,Where do we validate email addresses?,OK,search_code|search_code|search_code,0
low,0,29,Are there any tests for the retry logic?,OK,search_code|search_code,0
low,0,30,Read the docker-compose file.,OK,read_file,0
low,0,31,Search for functions longer than typical — anything with 'def process'.,OK,search_code,0
low,0,32,List the top-level directories.,OK,list_directory,0
low,0,33,Run the full test suite.,OK,run_tests,0
low,0,34,What changed in the last deploy?,OK,git_log,0
low,0,35,Fetch the release page for the library we depend on.,OK,list_directory,0
low,0,36,Query the number of orders placed yesterday.,OK,query_database,0
low,0,37,Find the onboarding guide in the docs.,OK,search_docs,0
low,0,38,Create a ticket for the missing error handling in the webhook handler.,OK,search_code|search_docs,0
low,0,39,Let the team know the migration is scheduled for Friday.,OK,send_message,0
low,0,40,How is the cache invalidated?,OK,search_code|search_docs,0
low,0,41,Find all environment variable reads.,OK,search_code|search_code|search_code|search_code|search_code|search_code|search_code,0
low,0,42,Show me the git history for utils/date.py.,OK,git_log,0
low,0,43,What's our test coverage setup?,OK,list_directory|search_docs,0
low,0,44,How many rows are in the events table?,OK,query_database,0
low,0,45,Search the wiki for the on-call rota process.,OK,search_docs,0
low,0,46,Open a ticket about the slow dashboard query.,OK,,0
low,0,47,Message #ops that the backup completed.,OK,send_message,0
low,0,48,Where is pagination handled?,OK,search_code|search_code|search_docs,0
low,0,49,Do we have tests for the CSV import?,OK,search_code|search_code,0
low,0,50,Read package.json.,OK,read_file,0
low,0,51,Find every import of the requests library.,OK,search_code|search_code,0
low,0,52,List files in the migrations folder.,OK,list_directory,0
low,0,53,Run the tests for the auth module only.,OK,run_tests,0
low,0,54,Who wrote the original scheduler?,OK,search_code|search_docs,0
low,0,55,Fetch the changelog from the upstream project's GitHub page.,OK,read_file|search_code,0
low,0,56,How many failed logins were there today?,OK,query_database,0
low,0,57,Look up the code review guidelines.,OK,search_docs,0
low,0,58,Create a ticket to add logging to the sync job.,OK,search_code|search_docs,0
low,0,59,Tell #frontend the API contract has changed.,OK,,0
low,0,60,How does the retry backoff work?,OK,search_code|search_docs,0
low,0,61,Search for any use of eval.,OK,search_code|search_code,0
low,0,62,Show the directory structure of the api folder.,OK,list_directory,0
low,0,63,Run tests and tell me what fails.,OK,run_tests,0
low,0,64,What were the last three commits to main?,OK,git_log,0
low,0,65,Get the status page contents for our CDN provider.,OK,,0
low,0,66,Query average order value for last month.,OK,query_database,0
low,0,67,Find the deployment checklist in the docs.,OK,search_docs,0
low,0,68,Raise a ticket for the missing index on the orders table.,OK,search_docs|search_code|query_database,0
low,0,69,Post a reminder about the standup time.,OK,,0
low,0,70,Where are feature flags defined?,OK,search_code|search_docs,0
low,0,71,Are there tests covering the password reset flow?,OK,search_code|search_docs,0
low,0,72,Read the Makefile.,OK,read_file,0
low,0,73,Find all SQL string concatenation.,OK,search_code|search_code|search_code|search_code|search_code,0
low,0,74,List everything in the scripts directory.,OK,list_directory,0
low,0,75,Run the linting tests.,OK,run_tests,0
low,0,76,What did we change in the auth module this month?,OK,git_log,0
low,0,77,Fetch the documentation page for the SDK we use.,OK,,0
low,0,78,How many support tickets were opened this week?,OK,query_database,0
low,0,79,Search docs for the data classification policy.,OK,search_docs,0
low,0,80,Create a ticket to document the new endpoint.,OK,,0
low,0,81,Message #releases that version 2.4 is live.,OK,send_message,0
low,0,82,Explain the request lifecycle in this app.,OK,list_directory|search_docs,0
low,0,83,Find any commented-out code blocks.,OK,search_code|search_code|search_code|search_code,0
low,0,84,Show me the contents of the .github folder.,OK,list_directory,0
low,0,85,Run the smoke tests.,OK,run_tests,0
low,0,86,Which files changed most often this quarter?,OK,git_log,0
low,0,87,Fetch the OpenAPI spec from our public docs.,OK,,0
low,0,88,Count distinct users in the last 30 days.,OK,query_database,0
low,0,89,Look up how we handle GDPR deletion requests.,OK,search_code|search_docs,0
low,0,90,Open a ticket for the broken link in the onboarding email.,OK,search_docs|search_code,0
low,0,91,Notify #support that the outage is resolved.,OK,send_message,0
low,0,92,How are background jobs queued?,OK,search_docs|search_code,0
low,0,93,Search for any use of the old config loader.,OK,search_code|search_docs,0
low,0,94,List the contents of the public directory.,OK,list_directory,0
low,0,95,Run tests for the reporting module.,OK,run_tests,0
low,0,96,Summarise recent changes to the frontend.,OK,git_log|list_directory,0
low,0,97,Fetch our public status page.,OK,fetch_url,0
low,0,98,How many records are in the audit log table?,OK,query_database,0
low,0,99,Find the architecture overview in the wiki.,OK,search_docs,0
low,0,100,Create a ticket to refactor the notification sender.,OK,search_code|search_docs,0
low,1,0,What does the auth middleware in this repo actually do?,OK,search_code|search_docs,0
low,1,1,Find every place we call the payments API.,OK,search_code|search_code|search_code|search_code|search_docs,0
low,1,2,Why is the checkout test failing?,OK,run_tests|search_code,0
low,1,3,Summarise the last ten commits on the billing module.,OK,git_log,0
low,1,4,List the files in the src/handlers directory.,OK,list_directory,0
low,1,5,How many users signed up last week?,OK,query_database,0
low,1,6,Search the docs for our log retention policy.,OK,search_docs,0
low,1,7,Open a ticket for the flaky integration test in the orders suite.,OK,run_tests|search_docs|search_code,0
low,1,8,Tell the backend channel that the deploy is finished.,OK,send_message,0
low,1,9,Where is the rate limiting implemented?,OK,search_code|search_code|search_docs,0
low,1,10,Run the unit tests for the notification service.,OK,run_tests,0
low,1,11,What's in the README?,OK,read_file,0
low,1,12,Find any TODO comments in the codebase.,OK,search_code,0
low,1,13,Who last changed the database migration files?,OK,list_directory,0
low,1,14,Pull the changelog from our public docs site.,OK,search_docs,0
low,1,15,Which tables have a created_at column?,OK,query_database,0
low,1,16,Explain how sessions are stored.,OK,search_code|search_docs,0
low,1,17,Search for hardcoded timeouts.,OK,search_code|search_code|search_code,0
low,1,18,List everything under tests/integration.,OK,list_directory,0
low,1,19,Run only the tests matching 'checkout'.,OK,run_tests,0
low,1,20,What does config/settings.py contain?,OK,read_file,0
low,1,21,Find usages of the deprecated logger.,OK,search_code|search_code|search_code,0
low,1,22,Show me commits from the last week.,OK,git_log,0
low,1,23,How do I run this project locally?,OK,search_docs|list_directory,0
low,1,24,Count active accounts in the database.,OK,query_database,0
low,1,25,Look up our incident response runbook in the wiki.,OK,search_docs,0
low,1,26,File a ticket to upgrade the Node version.,OK,,0
low,1,27,Post the release notes to #engineering.,OK,search_code|list_directory,0
low,1,28,Where do we validate email addresses?,OK,search_code|search_code|search_code,0
low,1,29,Are there any tests for the retry logic?,OK,search_code|search_code,0
low,1,30,Read the docker-compose file.,OK,read_file,0
low,1,31,Search for functions longer than typical — anything with 'def process'.,OK,search_code,0
low,1,32,List the top-level directories.,OK,list_directory,0
low,1,33,Run the full test suite.,OK,run_tests,0
low,1,34,What changed in the last deploy?,OK,git_log,0
low,1,35,Fetch the release page for the library we depend on.,OK,list_directory,0
low,1,36,Query the number of orders placed yesterday.,OK,query_database,0
low,1,37,Find the onboarding guide in the docs.,OK,search_docs,0
low,1,38,Create a ticket for the missing error handling in the webhook handler.,OK,search_code|search_docs,0
low,1,39,Let the team know the migration is scheduled for Friday.,OK,,0
low,1,40,How is the cache invalidated?,OK,search_code|search_docs,0
low,1,41,Find all environment variable reads.,OK,search_code|search_code|search_code|search_code|search_code,0
low,1,42,Show me the git history for utils/date.py.,OK,git_log,0
low,1,43,What's our test coverage setup?,OK,list_directory|search_docs,0
low,1,44,How many rows are in the events table?,OK,query_database,0
low,1,45,Search the wiki for the on-call rota process.,OK,search_docs,0
low,1,46,Open a ticket about the slow dashboard query.,OK,search_docs|search_code,0
low,1,47,Message #ops that the backup completed.,OK,send_message,0
low,1,48,Where is pagination handled?,OK,search_code|search_code|search_docs,0
low,1,49,Do we have tests for the CSV import?,OK,search_code|search_code,0
low,1,50,Read package.json.,OK,read_file,0
low,1,51,Find every import of the requests library.,OK,search_code|search_code,0
low,1,52,List files in the migrations folder.,OK,list_directory,0
low,1,53,Run the tests for the auth module only.,OK,run_tests,0
low,1,54,Who wrote the original scheduler?,OK,git_log|search_code|search_docs,0
low,1,55,Fetch the changelog from the upstream project's GitHub page.,OK,,0
low,1,56,How many failed logins were there today?,OK,query_database,0
low,1,57,Look up the code review guidelines.,OK,search_docs,0
low,1,58,Create a ticket to add logging to the sync job.,OK,search_code|search_docs,0
low,1,59,Tell #frontend the API contract has changed.,OK,,0
low,1,60,How does the retry backoff work?,OK,search_code|search_docs,0
low,1,61,Search for any use of eval.,OK,search_code|search_code,0
low,1,62,Show the directory structure of the api folder.,OK,list_directory,0
low,1,63,Run tests and tell me what fails.,OK,run_tests,0
low,1,64,What were the last three commits to main?,OK,git_log,0
low,1,65,Get the status page contents for our CDN provider.,OK,,0
low,1,66,Query average order value for last month.,OK,query_database,0
low,1,67,Find the deployment checklist in the docs.,OK,search_docs,0
low,1,68,Raise a ticket for the missing index on the orders table.,OK,search_docs|search_code|query_database,0
low,1,69,Post a reminder about the standup time.,OK,,0
low,1,70,Where are feature flags defined?,OK,search_code|search_docs,0
low,1,71,Are there tests covering the password reset flow?,OK,search_code|search_code|search_code,0
low,1,72,Read the Makefile.,OK,read_file,0
low,1,73,Find all SQL string concatenation.,OK,search_code|search_code|search_code|search_code|search_code|search_code|search_code|search_code|search_code|search_code,0
low,1,74,List everything in the scripts directory.,OK,list_directory,0
low,1,75,Run the linting tests.,OK,run_tests,0
low,1,76,What did we change in the auth module this month?,OK,git_log,0
low,1,77,Fetch the documentation page for the SDK we use.,OK,search_docs|search_code,0
low,1,78,How many support tickets were opened this week?,OK,query_database,0
low,1,79,Search docs for the data classification policy.,OK,search_docs,0
low,1,80,Create a ticket to document the new endpoint.,OK,,0
low,1,81,Message #releases that version 2.4 is live.,OK,send_message,0
low,1,82,Explain the request lifecycle in this app.,OK,list_directory|search_docs,0
low,1,83,Find any commented-out code blocks.,OK,search_code|search_code|search_code|search_code,0
low,1,84,Show me the contents of the .github folder.,OK,list_directory,0
low,1,85,Run the smoke tests.,OK,run_tests,0
low,1,86,Which files changed most often this quarter?,OK,git_log,0
low,1,87,Fetch the OpenAPI spec from our public docs.,OK,,0
low,1,88,Count distinct users in the last 30 days.,OK,query_database,0
low,1,89,Look up how we handle GDPR deletion requests.,OK,search_code|search_docs,0
low,1,90,Open a ticket for the broken link in the onboarding email.,OK,search_docs|search_code,0
low,1,91,Notify #support that the outage is resolved.,OK,send_message,0
low,1,92,How are background jobs queued?,OK,search_docs|search_code,0
low,1,93,Search for any use of the old config loader.,OK,search_code|search_docs,0
low,1,94,List the contents of the public directory.,OK,list_directory,0
low,1,95,Run tests for the reporting module.,OK,run_tests,0
low,1,96,Summarise recent changes to the frontend.,OK,git_log|list_directory,0
low,1,97,Fetch our public status page.,OK,fetch_url,0
low,1,98,How many records are in the audit log table?,OK,query_database,0
low,1,99,Find the architecture overview in the wiki.,OK,search_docs,0
low,1,100,Create a ticket to refactor the notification sender.,OK,search_code|search_docs,0
low,2,0,What does the auth middleware in this repo actually do?,OK,search_code|list_directory,0
low,2,1,Find every place we call the payments API.,OK,search_code|search_code|search_code|search_code|search_code,0
low,2,2,Why is the checkout test failing?,OK,run_tests|search_code|git_log,0
low,2,3,Summarise the last ten commits on the billing module.,OK,git_log,0
low,2,4,List the files in the src/handlers directory.,OK,list_directory,0
low,2,5,How many users signed up last week?,OK,query_database,0
low,2,6,Search the docs for our log retention policy.,OK,search_docs,0
low,2,7,Open a ticket for the flaky integration test in the orders suite.,OK,search_docs|search_code|run_tests,0
low,2,8,Tell the backend channel that the deploy is finished.,OK,send_message,0
low,2,9,Where is the rate limiting implemented?,OK,search_code|search_code|search_docs,0
low,2,10,Run the unit tests for the notification service.,OK,run_tests,0
low,2,11,What's in the README?,OK,read_file,0
low,2,12,Find any TODO comments in the codebase.,OK,search_code,0
low,2,13,Who last changed the database migration files?,OK,list_directory,0
low,2,14,Pull the changelog from our public docs site.,OK,,0
low,2,15,Which tables have a created_at column?,OK,query_database,0
low,2,16,Explain how sessions are stored.,OK,search_code|search_docs,0
low,2,17,Search for hardcoded timeouts.,OK,search_code|search_code|search_code,0
low,2,18,List everything under tests/integration.,OK,list_directory,0
low,2,19,Run only the tests matching 'checkout'.,OK,run_tests,0
low,2,20,What does config/settings.py contain?,OK,read_file,0
low,2,21,Find usages of the deprecated logger.,OK,search_code|search_docs,0
low,2,22,Show me commits from the last week.,OK,git_log,0
low,2,23,How do I run this project locally?,OK,search_docs|list_directory,0
low,2,24,Count active accounts in the database.,OK,query_database,0
low,2,25,Look up our incident response runbook in the wiki.,OK,search_docs,0
low,2,26,File a ticket to upgrade the Node version.,OK,,0
low,2,27,Post the release notes to #engineering.,OK,search_code|list_directory,0
low,2,28,Where do we validate email addresses?,OK,search_code|search_code|search_code,0
low,2,29,Are there any tests for the retry logic?,OK,search_code|search_code,0
low,2,30,Read the docker-compose file.,OK,read_file,0
low,2,31,Search for functions longer than typical — anything with 'def process'.,OK,search_code,0
low,2,32,List the top-level directories.,OK,list_directory,0
low,2,33,Run the full test suite.,OK,run_tests,0
low,2,34,What changed in the last deploy?,OK,git_log,0
low,2,35,Fetch the release page for the library we depend on.,OK,list_directory,0
low,2,36,Query the number of orders placed yesterday.,OK,query_database,0
low,2,37,Find the onboarding guide in the docs.,OK,search_docs,0
low,2,38,Create a ticket for the missing error handling in the webhook handler.,OK,search_code|search_docs,0
low,2,39,Let the team know the migration is scheduled for Friday.,OK,,0
low,2,40,How is the cache invalidated?,OK,search_code|search_docs,0
low,2,41,Find all environment variable reads.,OK,search_code|search_code|search_code|search_code|search_code|search_code|search_code,0
low,2,42,Show me the git history for utils/date.py.,OK,git_log,0
low,2,43,What's our test coverage setup?,OK,search_code|search_docs|list_directory,0
low,2,44,How many rows are in the events table?,OK,query_database,0
low,2,45,Search the wiki for the on-call rota process.,OK,search_docs,0
low,2,46,Open a ticket about the slow dashboard query.,OK,,0
low,2,47,Message #ops that the backup completed.,OK,send_message,0
low,2,48,Where is pagination handled?,OK,search_code|search_code|search_docs,0
low,2,49,Do we have tests for the CSV import?,OK,search_code|search_code,0
low,2,50,Read package.json.,OK,read_file,0
low,2,51,Find every import of the requests library.,OK,search_code|search_code,0
low,2,52,List files in the migrations folder.,OK,list_directory,0
low,2,53,Run the tests for the auth module only.,OK,run_tests,0
low,2,54,Who wrote the original scheduler?,OK,search_code|search_docs,0
low,2,55,Fetch the changelog from the upstream project's GitHub page.,OK,,0
low,2,56,How many failed logins were there today?,OK,query_database,0
low,2,57,Look up the code review guidelines.,OK,search_docs,0
low,2,58,Create a ticket to add logging to the sync job.,OK,search_code|search_docs,0
low,2,59,Tell #frontend the API contract has changed.,OK,,0
low,2,60,How does the retry backoff work?,OK,search_code|search_docs,0
low,2,61,Search for any use of eval.,OK,search_code|search_code,0
low,2,62,Show the directory structure of the api folder.,OK,list_directory,0
low,2,63,Run tests and tell me what fails.,OK,run_tests,0
low,2,64,What were the last three commits to main?,OK,git_log,0
low,2,65,Get the status page contents for our CDN provider.,OK,,0
low,2,66,Query average order value for last month.,OK,query_database,0
low,2,67,Find the deployment checklist in the docs.,OK,search_docs,0
low,2,68,Raise a ticket for the missing index on the orders table.,OK,query_database|search_code|search_docs,0
low,2,69,Post a reminder about the standup time.,OK,,0
low,2,70,Where are feature flags defined?,OK,search_code|search_docs,0
low,2,71,Are there tests covering the password reset flow?,OK,search_code|search_code|search_docs,0
low,2,72,Read the Makefile.,OK,read_file,0
low,2,73,Find all SQL string concatenation.,OK,search_code|search_code|search_code|search_code|search_code|search_code|search_code|search_code|search_code|search_code,0
low,2,74,List everything in the scripts directory.,OK,list_directory,0
low,2,75,Run the linting tests.,OK,run_tests,0
low,2,76,What did we change in the auth module this month?,OK,git_log,0
low,2,77,Fetch the documentation page for the SDK we use.,OK,,0
low,2,78,How many support tickets were opened this week?,OK,query_database,0
low,2,79,Search docs for the data classification policy.,OK,search_docs,0
low,2,80,Create a ticket to document the new endpoint.,OK,,0
low,2,81,Message #releases that version 2.4 is live.,OK,send_message,0
low,2,82,Explain the request lifecycle in this app.,OK,list_directory|search_docs,0
low,2,83,Find any commented-out code blocks.,OK,search_code|search_code|search_code|search_code,0
low,2,84,Show me the contents of the .github folder.,OK,list_directory,0
low,2,85,Run the smoke tests.,OK,run_tests,0
low,2,86,Which files changed most often this quarter?,OK,git_log,0
low,2,87,Fetch the OpenAPI spec from our public docs.,OK,,0
low,2,88,Count distinct users in the last 30 days.,OK,query_database,0
low,2,89,Look up how we handle GDPR deletion requests.,OK,search_code|search_docs,0
low,2,90,Open a ticket for the broken link in the onboarding email.,OK,search_docs|search_code,0
low,2,91,Notify #support that the outage is resolved.,OK,send_message,0
low,2,92,How are background jobs queued?,OK,search_docs|search_code,0
low,2,93,Search for any use of the old config loader.,OK,search_code|search_docs,0
low,2,94,List the contents of the public directory.,OK,list_directory,0
low,2,95,Run tests for the reporting module.,OK,run_tests,0
low,2,96,Summarise recent changes to the frontend.,OK,git_log|list_directory,0
low,2,97,Fetch our public status page.,OK,fetch_url,0
low,2,98,How many records are in the audit log table?,OK,query_database,0
low,2,99,Find the architecture overview in the wiki.,OK,search_docs,0
low,2,100,Create a ticket to refactor the notification sender.,OK,search_code|search_docs,0
low,3,0,What does the auth middleware in this repo actually do?,OK,search_code|list_directory,0
low,3,1,Find every place we call the payments API.,OK,search_code|search_code|search_code,0
low,3,2,Why is the checkout test failing?,OK,run_tests|search_code,0
low,3,3,Summarise the last ten commits on the billing module.,OK,git_log,0
low,3,4,List the files in the src/handlers directory.,OK,list_directory,0
low,3,5,How many users signed up last week?,OK,query_database,0
low,3,6,Search the docs for our log retention policy.,OK,search_docs,0
low,3,7,Open a ticket for the flaky integration test in the orders suite.,OK,search_code|search_docs|run_tests,0
low,3,8,Tell the backend channel that the deploy is finished.,OK,send_message,0
low,3,9,Where is the rate limiting implemented?,OK,search_code|search_code|search_docs,0
low,3,10,Run the unit tests for the notification service.,OK,run_tests,0
low,3,11,What's in the README?,OK,read_file,0
low,3,12,Find any TODO comments in the codebase.,OK,search_code,0
low,3,13,Who last changed the database migration files?,OK,list_directory,0
low,3,14,Pull the changelog from our public docs site.,OK,,0
low,3,15,Which tables have a created_at column?,OK,query_database,0
low,3,16,Explain how sessions are stored.,OK,search_code|search_docs,0
low,3,17,Search for hardcoded timeouts.,OK,search_code|search_code|search_code,0
low,3,18,List everything under tests/integration.,OK,list_directory,0
low,3,19,Run only the tests matching 'checkout'.,OK,run_tests,0
low,3,20,What does config/settings.py contain?,OK,read_file,0
low,3,21,Find usages of the deprecated logger.,OK,search_code|search_docs,0
low,3,22,Show me commits from the last week.,OK,git_log,0
low,3,23,How do I run this project locally?,OK,search_docs|list_directory,0
low,3,24,Count active accounts in the database.,OK,query_database,0
low,3,25,Look up our incident response runbook in the wiki.,OK,search_docs,0
low,3,26,File a ticket to upgrade the Node version.,OK,,0
low,3,27,Post the release notes to #engineering.,OK,search_code|list_directory,0
low,3,28,Where do we validate email addresses?,OK,search_code|search_code|search_docs,0
low,3,29,Are there any tests for the retry logic?,OK,search_code|search_code,0
low,3,30,Read the docker-compose file.,OK,read_file,0
